,PLAYER,POS,FPTS,VOR,VALUE_RANK
144,Steven Sims,WR,137.7,-44.20000000000002,189.0
55,Derek Carr,QB,229.8,-44.69999999999999,190.0
172,Tevin Coleman,RB,121.6,-45.30000000000001,191.0
146,Corey Davis,WR,135.7,-46.20000000000002,192.0
218,Dawson Knox,TE,98.0,-46.5,193.0
219,Tyler Eifert,TE,97.9,-46.599999999999994,194.0
147,Michael Pittman Jr.,WR,135.0,-46.900000000000006,195.0
175,J.K. Dobbins,RB,119.1,-47.80000000000001,196.0
223,Irv Smith Jr.,TE,96.6,-47.900000000000006,197.5
57,Sam Darnold,QB,226.6,-47.900000000000006,197.5
176,Latavius Murray,RB,118.8,-48.10000000000001,199.0
177,Zack Moss,RB,118.4,-48.5,200.0
226,Jimmy Graham,TE,95.9,-48.599999999999994,201.0
152,Dede Westbrook,WR,132.0,-49.900000000000006,202.0
231,C.J. Uzomah,TE,92.4,-52.099999999999994,203.0
156,Bryan Edwards,WR,129.7,-52.20000000000002,204.0
232,Jace Sternberger,TE,91.1,-53.400000000000006,205.0
236,David Njoku,TE,90.4,-54.099999999999994,206.0
159,Brandon Aiyuk,WR,127.8,-54.10000000000001,207.0
237,O.J. Howard,TE,89.9,-54.599999999999994,208.0
188,Boston Scott,RB,111.2,-55.7,209.0
241,Darren Fells,TE,88.7,-55.8,210.0
189,Sony Michel,RB,111.1,-55.80000000000001,211.0
162,Larry Fitzgerald,WR,125.8,-56.10000000000001,212.0
192,Nyheim Hines,RB,110.7,-56.2,213.0
197,Darrell Henderson,RB,109.3,-57.60000000000001,214.0
168,Mecole Hardman,WR,123.0,-58.900000000000006,215.0
246,Gerald Everett,TE,84.7,-59.8,216.0
204,Tony Pollard,RB,106.1,-60.80000000000001,217.0
174,Randall Cobb,WR,120.2,-61.7,218.0
346,Cairo Santos,K,37.0,-63.0,219.0
357,Ryan Succop,K,34.0,-66.0,220.0
252,Nick Boyle,TE,77.9,-66.6,221.0
256,Vance McDonald,TE,76.9,-67.6,222.0
257,Devin Asiasi,TE,75.9,-68.6,223.0
217,Jerick McKinnon,RB,98.0,-68.9,224.0
182,Josh Gordon,WR,112.3,-69.60000000000001,225.0
186,Chris Conley,WR,111.4,-70.5,226.0
228,Alexander Mattison,RB,94.5,-72.4,227.0
81,Tyrod Taylor,QB,201.4,-73.1,228.0
396,Lirim Hajrullahu,K,26.0,-74.0,229.5
398,Austin MacGinnis,K,26.0,-74.0,229.5
264,Trey Burton,TE,70.0,-74.5,231.0
203,Alshon Jeffery,WR,106.3,-75.60000000000001,232.0
233,Darrynton Evans,RB,90.8,-76.10000000000001,233.0
235,Giovani Bernard,RB,90.5,-76.4,234.0
267,Jordan Akins,TE,67.8,-76.7,235.0
238,Jalen Richard,RB,89.5,-77.4,236.5
239,Chase Edmonds,RB,89.5,-77.4,236.5
271,Cole Kmet,TE,66.0,-78.5,238.0
242,Jamaal Williams,RB,87.9,-79.0,239.0
207,Parris Campbell,WR,102.8,-79.10000000000001,240.0
273,Will Dissly,TE,65.3,-79.2,241.0
209,Jakeem Grant,WR,102.4,-79.5,242.0
210,Josh Reynolds,WR,100.9,-81.0,243.0
211,Tee Higgins,WR,100.7,-81.2,244.0
212,Laviska Shenault Jr.,WR,100.0,-81.9,245.0
213,Russell Gage,WR,99.9,-82.0,246.0
214,Adam Humphries,WR,99.3,-82.60000000000001,247.0
216,James Washington,WR,98.8,-83.10000000000001,248.0
285,Anthony Firkser,TE,59.6,-84.9,249.0
288,Ryan Griffin,TE,59.2,-85.3,250.0
224,John Ross,WR,96.6,-85.30000000000001,251.0
227,Kendrick Bourne,WR,95.8,-86.10000000000001,252.0
291,Dan Arnold,TE,58.0,-86.5,253.0
249,Ito Smith,RB,79.6,-87.30000000000001,254.0
251,Justin Jackson,RB,78.89999999999998,-88.00000000000003,255.0
300,Jordan Reed,TE,55.5,-89.0,256.0
230,Kenny Stills,WR,92.7,-89.2,257.0
301,Taysom Hill,TE,55.2,-89.3,258.0
305,Cameron Brate,TE,54.1,-90.4,259.0
234,Dontrelle Inman,WR,90.7,-91.2,260.0
309,James O'Shaughnessy,TE,52.9,-91.6,261.0
311,Maxx Williams,TE,52.8,-91.7,262.0
258,Joshua Kelley,RB,74.8,-92.10000000000001,263.0
259,Darrel Williams,RB,74.60000000000002,-92.29999999999998,264.0
312,Jesse James,TE,52.0,-92.5,265.0
314,Jacob Hollister,TE,51.5,-93.0,266.0
315,Logan Thomas,TE,51.2,-93.3,267.0
261,A.J. Dillon,RB,72.8,-94.10000000000001,268.0
316,Jason Witten,TE,49.3,-95.2,269.0
243,Miles Boykin,WR,86.0,-95.9,270.0
93,Dwayne Haskins,QB,178.5,-96.0,271.0
263,Rex Burkhead,RB,70.5,-96.4,272.0
244,Jakobi Meyers,WR,85.3,-96.60000000000001,273.0
245,Willie Snead,WR,85.1,-96.80000000000001,274.0
319,Andrew Beck,TE,47.4,-97.1,275.5
320,Jeremy Sprinkle,TE,47.4,-97.1,275.5
321,Adam Shaheen,TE,46.2,-98.3,277.0
265,Benny Snell Jr.,RB,68.0,-98.9,278.0
323,Jaeden Graham,TE,44.5,-100.0,279.0
324,Tyler Kroft,TE,44.3,-100.2,280.0
268,Frank Gore,RB,66.5,-100.4,281.0
326,Robert Tonyan,TE,43.9,-100.6,282.0
269,Damien Harris,RB,66.1,-100.80000000000001,283.0
248,Paul Richardson Jr.,WR,79.80000000000003,-102.09999999999998,284.0
330,Josh Hill,TE,42.0,-102.5,285.0
250,Chase Claypool,WR,78.9,-103.0,286.0
277,Dion Lewis,RB,63.7,-103.2,287.0
278,Lamar Miller,RB,63.6,-103.30000000000001,288.0
334,Harrison Bryant,TE,40.9,-103.6,289.0
335,Mo Alie-Cox,TE,40.8,-103.7,290.0
338,Josiah Deguara,TE,40.5,-104.0,291.0
254,Van Jefferson,WR,77.4,-104.5,292.5
253,KJ Hamler,WR,77.4,-104.5,292.5
255,Denzel Mims,WR,77.1,-104.80000000000001,294.0
283,Lynn Bowden Jr.,RB,59.8,-107.10000000000001,295.0
286,Kyle Juszczyk,RB,59.5,-107.4,296.0
260,Tre'Quan Smith,WR,73.5,-108.4,297.0
349,Adam Trautman,TE,35.8,-108.7,298.0
292,Rashaad Penny,RB,57.6,-109.30000000000001,299.0
293,Bryce Love,RB,57.5,-109.4,300.5
351,Garrett Griffin,TE,35.1,-109.4,300.5
352,Levine Toilolo,TE,34.8,-109.7,302.0
356,Nick Vannett,TE,34.40000000000001,-110.1,303.0
262,Olabisi Johnson,WR,71.6,-110.30000000000001,304.5
295,Anthony McFarland Jr.,RB,56.6,-110.30000000000001,304.5
358,Jesper Horsted,TE,33.7,-110.8,306.0
297,Malcolm Brown,RB,56.1,-110.80000000000001,307.0
298,Brian Hill,RB,56.0,-110.9,308.0
361,Marcedes Lewis,TE,32.9,-111.6,309.5
363,MyCole Pruitt,TE,32.9,-111.6,309.5
303,Devine Ozigbo,RB,54.5,-112.4,311.0
306,Carlos Hyde,RB,53.5,-113.4,312.0
370,Ricky Seals-Jones,TE,30.9,-113.6,313.0
307,Royce Freeman,RB,53.3,-113.60000000000001,314.0
371,Foster Moreau,TE,30.8,-113.7,315.0
373,Brycen Hopkins,TE,30.5,-114.0,316.0
266,Zach Pascal,WR,67.80000000000001,-114.1,317.0
375,Jake Butt,TE,30.3,-114.2,318.0
377,Drew Sample,TE,29.6,-114.9,319.0
270,Keelan Cole,WR,66.1,-115.80000000000001,320.0
381,Kaden Smith,TE,28.6,-115.9,321.0
272,Equanimeous St. Brown,WR,65.7,-116.2,322.0
384,Ryan Izzo,TE,27.4,-117.1,323.0
385,Donald Parham,TE,27.3,-117.2,324.0
387,Kahale Warring,TE,27.2,-117.3,325.0
275,Marquez Valdes-Scantling,WR,64.5,-117.4,326.5
388,Demetrius Harris,TE,27.1,-117.4,326.5
389,Jordan Thomas,TE,27.0,-117.5,328.0
276,Devin Duvernay,WR,64.2,-117.7,329.0
391,Virgil Green,TE,26.6,-117.9,330.0
399,Dalton Schultz,TE,25.7,-118.8,331.0
404,Charlie Woerner,TE,25.4,-119.1,332.0
408,Jerell Adams,TE,24.9,-119.6,333.0
414,Joshua Perkins,TE,24.2,-120.3,334.0
279,Isaiah Ford,WR,61.2,-120.7,335.0
280,Antonio Gandy-Golden,WR,60.9,-121.0,336.0
281,Nelson Agholor,WR,60.5,-121.4,337.0
282,Andy Isabella,WR,60.4,-121.5,338.0
421,Albert Okwuegbunam,TE,22.4,-122.1,339.0
422,Blake Bell,TE,22.3,-122.2,340.0
423,Geoff Swaim,TE,22.1,-122.4,341.0
287,Auden Tate,WR,59.2,-122.7,342.5
425,Chris Manhertz,TE,21.8,-122.7,342.5
427,Derek Carrier,TE,21.7,-122.8,344.0
325,Mike Davis,RB,43.90000000000001,-123.0,345.0
289,Greg Ward,WR,58.40000000000001,-123.5,346.0
290,Phillip Dorsett,WR,58.2,-123.7,347.5
327,Lamical Perine,RB,43.2,-123.7,347.5
294,Chris Hogan,WR,57.40000000000001,-124.5,349.0
329,Dare Ogunbowale,RB,42.2,-124.7,350.0
296,Damiere Byrd,WR,56.5,-125.4,351.0
332,Jaylen Samuels,RB,41.1,-125.80000000000001,352.0
445,Pharaoh Brown,TE,18.4,-126.1,353.0
336,DeeJay Dallas,RB,40.7,-126.2,354.0
299,David Moore,WR,55.6,-126.30000000000001,355.0
447,Eric Tomlinson,TE,18.1,-126.4,356.0
452,Codey McElroy,TE,17.6,-126.9,357.0
455,Luke Willson,TE,17.4,-127.1,358.0
302,Ted Ginn,WR,54.8,-127.10000000000001,359.5
339,Gus Edwards,RB,39.8,-127.10000000000001,359.5
457,J.P. Holtz,TE,17.1,-127.4,361.0
458,Tanner Hudson,TE,16.9,-127.6,362.0
459,Tommy Sweeney,TE,16.8,-127.7,363.0
304,Scott Miller,WR,54.1,-127.80000000000001,364.0
340,DeAndre Washington,RB,38.9,-128.0,365.0
461,Richard Rodgers,TE,16.3,-128.2,366.0
462,Luke Stocker,TE,16.2,-128.3,367.0
464,Trevon Wesco,TE,16.1,-128.4,368.0
342,Justice Hill,RB,38.2,-128.7,369.0
465,Deon Yelder,TE,15.7,-128.8,370.0
467,Antony Auclair,TE,15.6,-128.9,371.0
308,Jake Kumerow,WR,52.9,-129.0,372.0
469,Durham Smythe,TE,15.4,-129.1,373.0
310,Gunner Olszewski,WR,52.8,-129.10000000000002,374.0
344,Sewo Olonilua,RB,37.2,-129.7,375.0
313,Joe Reed,WR,51.5,-130.4,376.0
482,Troy Fumagalli,TE,13.5,-131.0,377.0
354,J.D. McKissic,RB,34.7,-132.2,378.0
355,Andy Janovich,RB,34.6,-132.3,379.0
136,Tua Tagovailoa,QB,142.1,-132.4,380.0
492,Johnny Mundt,TE,12.0,-132.5,381.0
317,J.J. Arcega-Whiteside,WR,48.6,-133.3,382.0
504,Tyler Conklin,TE,11.1,-133.4,383.0
506,Eric Saubert,TE,11.0,-133.5,384.0
511,Isaac Nauta,TE,10.7,-133.8,385.5
318,Demarcus Robinson,WR,48.1,-133.8,385.5
360,Corey Clement,RB,32.9,-134.0,387.0
516,Stephen Carlson,TE,10.4,-134.1,388.0
530,Xavier Grimble,TE,9.7,-134.8,389.0
365,Chandler Cox,RB,32.0,-134.9,390.0
540,Ross Travis,TE,9.0,-135.5,391.0
546,Stephen Anderson,TE,8.7,-135.8,392.0
367,Reggie Bonnafon,RB,31.0,-135.9,394.0
547,Lee Smith,TE,8.600000000000001,-135.9,394.0
369,Ryan Nall,RB,31.0,-135.9,394.0
372,Myles Gaskin,RB,30.7,-136.20000000000002,396.0
374,Patrick Laird,RB,30.5,-136.4,397.0
322,Tim Patrick,WR,45.2,-136.7,398.0
563,Cethan Carter,TE,6.5,-138.0,399.0
566,Daniel Brown,TE,5.8,-138.7,400.0
568,Jason Croom,TE,5.6,-138.9,401.5
383,Kalen Ballage,RB,28.0,-138.9,401.5
328,Cordarrelle Patterson,WR,42.9,-139.0,403.0
572,Zach Gentry,TE,5.1,-139.4,404.0
386,Mike Boone,RB,27.3,-139.6,405.0
597,Jordan Franks,TE,3.9,-140.6,406.0
331,Marvin Hall,WR,41.2,-140.7,407.0
394,Darwin Thompson,RB,26.2,-140.70000000000002,408.0
395,Ty Montgomery,RB,26.1,-140.8,409.0
333,Kalif Raymond,WR,41.0,-140.9,410.0
337,Trent Taylor,WR,40.7,-141.2,411.5
602,Ross Dwelley,TE,3.3,-141.2,411.5
400,Eno Benjamin,RB,25.7,-141.20000000000002,413.0
603,Evan Baylis,TE,3.2,-141.3,414.5
401,CJ Ham,RB,25.6,-141.3,414.5
403,LeSean McCoy,RB,25.5,-141.4,416.0
607,Alex Ellis,TE,2.9,-141.6,417.5
406,Jason Huntley,RB,25.3,-141.6,417.5
609,Cole Hikutini,TE,2.8,-141.7,419.0
612,Hale Hentges,TE,2.3,-142.2,420.0
410,Devontae Booker,RB,24.6,-142.3,421.0
411,Bo Scarbrough,RB,24.5,-142.4,422.0
619,Darrell Daniels,TE,1.7000000000000002,-142.8,423.0
341,Trey Quinn,WR,38.7,-143.2,424.0
343,Donovan Peoples-Jones,WR,37.4,-144.5,425.5
644,Temarrick Hemingway,TE,0.0,-144.5,425.5
345,Riley Ridley,WR,37.0,-144.9,427.0
424,Ke'Shawn Vaughn,RB,21.9,-145.0,428.0
347,Laquon Treadwell,WR,36.7,-145.2,429.0
429,Ty Johnson,RB,20.9,-146.0,430.0
431,Travis Homer,RB,20.8,-146.1,431.0
433,Ameer Abdullah,RB,20.6,-146.3,432.0
434,Jeff Wilson,RB,20.4,-146.5,433.0
350,Tajae Sharpe,WR,35.2,-146.7,434.0
353,Rashard Higgins,WR,34.7,-147.2,435.0
441,JaMycal Hasty,RB,19.4,-147.5,436.0
443,T.J. Yeldon,RB,19.0,-147.9,437.0
359,Gabriel Davis,WR,33.0,-148.9,438.0
362,David Sills,WR,32.9,-149.0,439.0
364,Javon Wims,WR,32.6,-149.3,440.5
451,Dontrell Hilliard,RB,17.6,-149.3,440.5
